@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
22.751793,4.055437,1.877323,3.185319,2.926603,1.747758,2.142733,1.52286,0.544881,0.805133,0.708397,0.489415,0.052058,0.425676,0.303245,0.108182,0.1266,0.248516,0.107597,0.131257,0.337139,0.188304,0.303579,0.254599,0.285462,0.124744,0.271403,0.405249,0.324086,0.27253,0.301485,0.19029,0.156447,0.19029,0.301485,0.27253,0.324086,0.405249,0.271403,0.124744,0.285462,0.254599,0.303579,0.188304,0.337139,0.131257,0.107597,0.248516,0.1266,0.108182,0.303245,0.425676,0.052058,0.489415,0.708397,0.805133,0.544881,1.52286,2.142733,1.747758,2.926603,3.185319,1.877323,4.055437,0.701418,standing
16.68381,2.949019,2.968335,3.195746,3.201604,1.195952,3.095617,1.77164,0.352455,0.671748,0.375234,0.233481,0.619597,0.60476,0.058978,0.204154,0.245499,0.422009,0.250573,0.453277,0.077732,0.297519,0.134531,0.15971,0.260732,0.115075,0.327925,0.314142,0.331532,0.414281,0.13197,0.094386,0.129325,0.094386,0.13197,0.414281,0.331532,0.314142,0.327925,0.115075,0.260732,0.15971,0.134531,0.297519,0.077732,0.453277,0.250573,0.422009,0.245499,0.204154,0.058978,0.60476,0.619597,0.233481,0.375234,0.671748,0.352455,1.77164,3.095617,1.195952,3.201604,3.195746,2.968335,2.949019,0.747795,standing
267.141744,107.456636,69.331275,51.687204,14.95917,16.413499,14.981429,11.962575,9.237053,8.024639,4.802118,6.471367,6.485113,5.948607,4.645631,5.906929,4.458321,4.77045,4.649744,3.872629,3.968913,4.007763,4.181044,3.869209,3.545582,3.760314,3.054768,3.606051,3.206142,3.13852,3.241969,3.147348,3.562742,3.147348,3.241969,3.13852,3.206142,3.606051,3.054768,3.760314,3.545582,3.869209,4.181044,4.007763,3.968913,3.872629,4.649744,4.77045,4.458321,5.906929,4.645631,5.948607,6.485113,6.471367,4.802118,8.024639,9.237053,11.962575,14.981429,16.413499,14.95917,51.687204,69.331275,107.456636,10.200389,standing
203.383533,40.908128,35.149844,21.696831,17.352096,10.927077,11.85023,8.913789,8.208509,7.01051,6.634147,5.539574,5.620905,4.622384,4.324697,3.978,4.49037,4.018867,3.981931,3.410163,3.129243,3.256188,3.306069,3.122336,3.212076,3.076692,2.836518,2.830391,2.995734,3.202842,3.069814,2.96177,2.795212,2.96177,3.069814,3.202842,2.995734,2.830391,2.836518,3.076692,3.212076,3.122336,3.306069,3.256188,3.129243,3.410163,3.981931,4.018867,4.49037,3.978,4.324697,4.622384,5.620905,5.539574,6.634147,7.01051,8.208509,8.913789,11.85023,10.927077,17.352096,21.696831,35.149844,40.908128,6.296804,standing
38.170799,10.442164,1.428489,3.975078,2.690136,2.242651,2.158498,2.284612,1.053043,0.820526,0.922863,1.097155,0.592564,1.166359,0.746532,0.314862,0.628841,0.190111,0.483602,0.242802,0.439972,0.211954,0.122252,0.167321,0.066209,0.229423,0.332995,0.312008,0.221818,0.276653,0.170039,0.070587,0.331554,0.070587,0.170039,0.276653,0.221818,0.312008,0.332995,0.229423,0.066209,0.167321,0.122252,0.211954,0.439972,0.242802,0.483602,0.190111,0.628841,0.314862,0.746532,1.166359,0.592564,1.097155,0.922863,0.820526,1.053043,2.284612,2.158498,2.242651,2.690136,3.975078,1.428489,10.442164,1.356662,standing
26.163053,5.844814,4.081441,1.158142,2.914114,2.769605,4.278778,2.123252,1.241596,0.495654,1.922209,1.529975,1.081695,1.096064,0.674891,1.116353,0.673733,0.550796,0.796809,0.571977,0.50977,0.482392,0.502229,0.40956,0.539534,0.046439,0.226654,0.262528,0.539023,0.414397,0.247626,0.569661,0.399847,0.569661,0.247626,0.414397,0.539023,0.262528,0.226654,0.046439,0.539534,0.40956,0.502229,0.482392,0.50977,0.571977,0.796809,0.550796,0.673733,1.116353,0.674891,1.096064,1.081695,1.529975,1.922209,0.495654,1.241596,2.123252,4.278778,2.769605,2.914114,1.158142,4.081441,5.844814,1.070355,standing
14.12449,3.050039,3.405318,1.586284,1.598362,2.145564,1.126268,0.920355,0.165411,0.533147,0.695123,1.192523,1.312413,1.029845,1.014012,0.700874,0.696794,0.648223,0.67366,0.8371,0.641647,0.557152,0.467872,0.332519,0.437668,0.647052,0.570553,0.567572,0.312025,0.501976,0.374154,0.551227,0.527652,0.551227,0.374154,0.501976,0.312025,0.567572,0.570553,0.647052,0.437668,0.332519,0.467872,0.557152,0.641647,0.8371,0.67366,0.648223,0.696794,0.700874,1.014012,1.029845,1.312413,1.192523,0.695123,0.533147,0.165411,0.920355,1.126268,2.145564,1.598362,1.586284,3.405318,3.050039,1.011302,standing
89.3549,41.403601,8.08694,19.574902,13.091873,8.162348,3.195431,2.748948,2.602067,3.66371,2.396085,1.88235,1.238948,0.516816,1.291892,1.050358,0.974846,0.51907,0.362487,0.523967,0.604134,0.657204,0.692891,0.571385,0.409285,0.515723,0.575399,0.568635,0.445718,0.428143,0.634663,0.58784,0.48046,0.58784,0.634663,0.428143,0.445718,0.568635,0.575399,0.515723,0.409285,0.571385,0.692891,0.657204,0.604134,0.523967,0.362487,0.51907,0.974846,1.050358,1.291892,0.516816,1.238948,1.88235,2.396085,3.66371,2.602067,2.748948,3.195431,8.162348,13.091873,19.574902,8.08694,41.403601,3.180061,standing
16.868304,0.410681,0.9769,0.419359,1.197187,0.417461,1.013991,0.84847,1.153943,0.647117,0.616717,0.471199,0.065147,0.059429,0.688524,0.21556,0.162852,0.207431,0.070547,0.054643,0.163715,0.162753,0.102277,0.133384,0.062839,0.135472,0.083824,0.04897,0.168456,0.07336,0.1373,0.036591,0.090501,0.036591,0.1373,0.07336,0.168456,0.04897,0.083824,0.135472,0.062839,0.133384,0.102277,0.162753,0.163715,0.054643,0.070547,0.207431,0.162852,0.21556,0.688524,0.059429,0.065147,0.471199,0.616717,0.647117,1.153943,0.84847,1.013991,0.417461,1.197187,0.419359,0.9769,0.410681,0.381596,standing
9.760565,1.620175,0.456303,0.893098,0.541524,0.167464,0.24938,0.472156,0.279446,0.27897,0.584516,0.477275,0.166294,0.66081,0.229406,0.270469,0.211364,0.086288,0.434837,0.290231,0.44209,0.22643,0.043719,0.121336,0.092754,0.315073,0.124398,0.057058,0.159998,0.166627,0.023481,0.020909,0.009562,0.020909,0.023481,0.166627,0.159998,0.057058,0.124398,0.315073,0.092754,0.121336,0.043719,0.22643,0.44209,0.290231,0.434837,0.086288,0.211364,0.270469,0.229406,0.66081,0.166294,0.477275,0.584516,0.27897,0.279446,0.472156,0.24938,0.167464,0.541524,0.893098,0.456303,1.620175,0.257618,standing
